,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 04 .,ON REQUEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,GIZ - VCSL,GPC / MC,Torinton ,,once in 2 months,,,janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Sri Lanka Port Autority,,,,,,,janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Ceylon Essence / Rasarco,GPC,Dehiwala,,Once in Two Month,Friday,,janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,NHSL WARD 55 BED BUG CL BACK,GPC,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Motherson stack fumigation,,,,,,,,,✅,,,,,✅,,,,,✅,,,✅,,,,,,,,,,,,,,,
